"List of plants for all fuels, South Atlantic (total), all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvo&geo=0g&sec=g&freq=A&datecode=2023&rtype=s&start=2020&end=2025&ctype=columnchart&ltype=pin&columnendpoints=2&pin=&rse=0&maptype=0"
"Sun Aug 02 2026 18:32:39 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","Plant Code","State","Sector Name","Prime Movers","Fuel Types"
"Calvert Cliffs Nuclear Power Plant",6011,"MD","Electric utility non-cogen","ST","NUC"
"Camden Dam Solar, LLC",62330,"NC","Electric utility non-cogen","PV","SUN"
"Camden Solar LLC",64535,"NC","Electric utility non-cogen","PV","SUN"
"Cameron Solar",61489,"SC","Electric utility non-cogen","PV","SUN"
"Cameron Solar II",61326,"SC","Electric utility non-cogen","PV","SUN"
"Camilla Solar Energy Project",61785,"GA","Electric utility non-cogen","PV","SUN"
"Camilla Solar Plant",58892,"GA","Electric utility non-cogen","PV","SUN"
"Camp Lejeune Solar and Energy Storage",59966,"NC","Electric utility","PV","SUN"
"Camp Solar Plant",58893,"GA","Electric utility non-cogen","PV","SUN"
"Candace Solar",59499,"NC","Electric utility non-cogen","PV","SUN"
"Cane Island",7238,"FL","Electric utility","GT,CT,CA","NG,DFO"
"Canton North Carolina",50244,"NC","Industrial cogen","ST","NG,DFO,WDS,BIT,BLQ"
"Cape Canaveral",609,"FL","Electric utility","CT,CA","NG,DFO"
"Cardinal Solar LLC",63973,"SC","Electric utility non-cogen","PV","SUN"
"Carl Friedrich Gauss Solar",60882,"NC","Electric utility non-cogen","PV","SUN"
"Carol Jean Solar",59017,"NC","Electric utility non-cogen","PV","SUN"
"Carolina Lily Solar",63016,"NC","Electric utility non-cogen","PV","SUN"
"Carolina Poultry Power Farmville",62873,"NC","Electric utility cogen","ST","AB"
"Carter PV1",59156,"NC","Electric utility non-cogen","PV","SUN"
"Carters",6130,"GA","Electric utility","HY,PS","WAT"
"Cash Solar",60178,"NC","Electric utility non-cogen","PV","SUN"
"Castalia Solar",58849,"NC","Electric utility non-cogen","PV","SUN"
"Catawba",6036,"SC","Electric utility","ST","NUC"
"Catawba River Pollution Control",56553,"NC","Commercial non-cogen","IC","DFO"
"Catawba Solar LLC",60800,"NC","Electric utility non-cogen","PV","SUN"
"Cathcart Solar, LLC",66055,"NC","Electric utility non-cogen","PV","SUN"
"Cattle Ranch",62632,"FL","Electric utility","PV","SUN"
"Cecil County CCVT HS",60353,"MD","Electric utility non-cogen","PV","SUN"
"Cedar Cliff",2743,"NC","Electric utility","HY","WAT"
"Cedar Creek (SC)",3255,"SC","Electric utility","HY","WAT"
"Cedar Creek Solar, LLC",66200,"GA","Electric utility non-cogen","PV","SUN"
"Cedar Solar, LLC",60135,"NC","Electric utility non-cogen","PV","SUN"
"Celanese Acetate LLC",52089,"VA","Industrial cogen","ST","NG"
"Centerfield Cooper Solar, LLC",63810,"SC","Electric utility non-cogen","PV","SUN"
"Central Energy Facility",58400,"SC","Commercial non-cogen","GT","NG"
"Central Energy Plant",7294,"FL","Electric utility","CT","NG"
"Central Utility Plant at White Oak",58207,"MD","Commercial cogen","IC,CT,GT","NG,DFO"
"Century Drive Solar Farm",61187,"NC","Electric utility non-cogen","PV","SUN"
"Ceredo Generating Station",55276,"WV","Electric utility","GT","NG"
"Chadbourn Farm",58311,"NC","Electric utility non-cogen","PV","SUN"
"Chalk Point Power",1571,"MD","Electric utility non-cogen","GT,ST","NG,DFO"
"Chalk Point Steam",65285,"MD","Electric utility non-cogen","GT","DFO"
"Champion Solar",61522,"SC","Electric utility non-cogen","PV","SUN"
"Changeup",62601,"NC","Electric utility non-cogen","PV","SUN"
"Charles City",56683,"VA","Electric utility non-cogen","IC","DFO,LFG"
"Charlie",64176,"NC","Electric utility non-cogen","PV","SUN"
"Charlie Creek Solar Power Plant",63982,"FL","Electric utility","PV","SUN"
"Charlotte Solar",58722,"NC","Electric utility non-cogen","PV","SUN"
"Chattahoochee Energy Facility",7917,"GA","Electric utility","CT,CA","NG"
"Chatuge",2778,"NC","Electric utility","HY","WAT"
"Chauncey Farm LLC",59100,"NC","Electric utility non-cogen","PV","SUN"
"Chautauqua Solar Energy Center",65421,"FL","Electric utility","PV","SUN"
"Chei Solar",59508,"NC","Electric utility non-cogen","PV","SUN"
"Cheoah",54899,"NC","Electric utility non-cogen","HY","WAT"
"Cherokee County Cogen",55043,"SC","Electric utility cogen","CT,CA","NG"
"Cherokee Falls",10173,"SC","Electric utility non-cogen","HY","WAT"
"Cherry Blossom Solar LLC",63505,"SC","Electric utility non-cogen","PV","SUN"
"Cherryville City Hall",56340,"NC","Electric utility","IC","DFO"
"Chesapeake",3803,"VA","Electric utility","GT","DFO"
"Chesapeake College",60465,"MD","Electric utility non-cogen","PV","SUN"
"Chesapeake Solar Project",66541,"VA","Electric utility non-cogen","PV","SUN"
"Chester Woods Point Solar, LLC CSG",62720,"MD","Electric utility non-cogen","PV","SUN"
"Chesterfield",3797,"VA","Electric utility","CT,ST","NG,DFO,BIT"
"Chesterfield Landfill Gas",56684,"VA","Electric utility non-cogen","IC","DFO,LFG"
"Chestnut Solar",61011,"NC","Electric utility","PV","SUN"
"Chimes West Friendship (Nixon Farms)",59743,"MD","Electric utility non-cogen","PV","SUN"
"Choco Solar, LLC",59899,"NC","Electric utility non-cogen","PV","SUN"
"Chocowinity Solar LLC",58675,"NC","Electric utility non-cogen","PV","SUN"
"Chowan Jehu Solar",62693,"NC","Electric utility non-cogen","PV","SUN"
"Christiana",591,"DE","Electric utility non-cogen","GT","DFO"
"Church Hill",60737,"MD","Electric utility non-cogen","PV","SUN"
"Church Road Solar LLC",62168,"NC","Electric utility non-cogen","PV","SUN"
"Church Street Plant",7438,"VA","Electric utility","IC","DFO"
"Cirrus Solar LLC",58674,"NC","Electric utility non-cogen","PV","SUN"
"Citrus Ridge Solar",61988,"FL","Electric utility non-cogen","PV","SUN"
"Citrus Solar Energy Center Hybrid",60061,"FL","Electric utility","BA,PV","MWH,SUN"
"City West Diesel Plant",57886,"SC","Electric utility","IC","DFO"
"City of Bowie",65130,"MD","Electric utility non-cogen","PV","SUN"
"City of Havre De Grace C",60668,"MD","Electric utility non-cogen","PV","SUN"
"Claytor",3774,"VA","Electric utility","HY","WAT"
"Clear Solar I, LLC",65817,"NC","Electric utility non-cogen","PV","SUN"
"Clearwater Paper Corporation - Augusta",54358,"GA","Industrial cogen","ST","NG,WDS,BLQ"
"Cleveland Cnty Generating Facility",57029,"NC","Electric utility non-cogen","GT","NG,DFO"
"Clewiston Sugar House",50482,"FL","Industrial cogen","ST","NG,DFO,AB"
"Clifton Dam 3 Power Station",52049,"SC","Electric utility non-cogen","HY","WAT"
"Clinch River",3775,"VA","Electric utility","ST","NG"
"Cline Solar Farm, LLC",59929,"NC","Electric utility non-cogen","PV","SUN"
"Clipperton Holdings LLC",59213,"NC","Electric utility non-cogen","PV","SUN"
"Clovelly Solar",66711,"NC","Electric utility non-cogen","PV","SUN"
"Clover",7213,"VA","Electric utility","ST","DFO,BIT"
"CoTAL Solar Farm",60582,"FL","Electric utility non-cogen","PV","SUN"
"Coastal Virginia Offshore Wind (CVOW) Pi",59693,"VA","Electric utility","WS","WND"
"Coats Solar Farm, LLC",59937,"NC","Electric utility non-cogen","PV","SUN"
"Cohen Farm Solar, LLC",60146,"NC","Electric utility non-cogen","PV","SUN"
"Coit GT",3281,"SC","Electric utility","GT","NG,DFO"
"Colice Hall Solar",67172,"NC","Electric utility non-cogen","PV","SUN"
"Colleton Solar Farm",58700,"SC","Electric utility non-cogen","PV","SUN"
"Colonial Trail West",61985,"VA","Electric utility","PV","SUN"
"Columbia Bryson",62879,"GA","Electric utility non-cogen","PV","SUN"
"Columbia Energy Center (SC)",55386,"SC","Electric utility","CT,CA","NG,DFO"
"Columbia Solar Power Plant",61982,"FL","Electric utility","PV","SUN"
"Columbia Substation",64570,"GA","Electric utility non-cogen","PV","SUN"
"Comer Solar",61554,"GA","Electric utility","PV","SUN"
"Commonwealth Chesapeake",55381,"VA","Electric utility non-cogen","GT","DFO"
"Concord Energy",57896,"NC","Electric utility non-cogen","GT","LFG"
"Concord Farm",59818,"NC","Electric utility non-cogen","PV","SUN"
"Conetoe II Solar, LLC",59944,"NC","Electric utility non-cogen","PV","SUN"
"Conetoe Solar",60188,"NC","Electric utility non-cogen","PV","SUN"
"Conowingo",1574,"MD","Electric utility non-cogen","HY","WAT"
"Coody Cochran",64571,"GA","Electric utility non-cogen","PV","SUN"
"Coogee Solar",66712,"NC","Electric utility non-cogen","PV","SUN"
"Cookstown",62600,"NC","Electric utility non-cogen","PV","SUN"
"Cool Springs Solar (Hybrid)",63721,"GA","Electric utility non-cogen","BA,PV","MWH,SUN"
"Cope",7210,"SC","Electric utility","ST","NG,DFO,BIT"
"Copperfield",61882,"NC","Electric utility non-cogen","PV","SUN"
"Coral Farms Solar Energy Center",61022,"FL","Electric utility","PV","SUN"
"Cork Oak Solar",60637,"NC","Electric utility non-cogen","PV","SUN"
"Cornelius Delivery No 1",56546,"NC","Electric utility","IC","DFO"
"Cornwall Solar Center, LLC",59663,"NC","Electric utility non-cogen","PV","SUN"
"Correctional Solar LLC",60915,"VA","Electric utility non-cogen","PV","SUN"
"Cotten Farm, LLC",60965,"NC","Electric utility non-cogen","PV","SUN"
"Cotton Creek Solar Energy Center",65036,"FL","Electric utility","PV","SUN"
"Cottonwood Solar, LLC",63293,"NC","Electric utility non-cogen","PV","SUN"
"Cougar Solar, LLC",61658,"NC","Electric utility non-cogen","PV","SUN"
"County Home Solar Center, LLC",60199,"NC","Electric utility non-cogen","PV","SUN"
"County Home Solar LLC",62167,"NC","Electric utility non-cogen","PV","SUN"
"Covanta Alexandria/Arlington Energy",50663,"VA","Commercial non-cogen","ST","MSB,MSN"
"Covanta Fairfax Energy",50658,"VA","Commercial non-cogen","ST","NG,MSB,MSN"
"Covanta Lake County Energy",50629,"FL","Electric utility non-cogen","ST","MSB,NG,MSN"
"Covington Facility",50900,"VA","Industrial cogen","ST","NG,DFO,WDS,RFO,BIT,BLQ"
"Cowans Ford",2722,"NC","Electric utility","HY","WAT"
"Craven County Wood Energy LP",10525,"NC","Electric utility non-cogen","ST","WDS,OBS"
"Creech Solar 2, LLC",60635,"NC","Electric utility non-cogen","PV","SUN"
"Crestwood Solar Center LLC",59914,"NC","Electric utility non-cogen","PV","SUN"
"Creswell Alligood Solar, LLC",59548,"NC","Electric utility non-cogen","PV","SUN"
"Crisfield",1563,"MD","Electric utility non-cogen","IC","DFO"
"Crisp Plant",753,"GA","Electric utility","GT","NG"
"Criterion",57300,"MD","Electric utility non-cogen","WT","WND"
"Crockett Farm",59561,"NC","Electric utility non-cogen","PV","SUN"
"Croda Atlas Point CHP",59783,"DE","Industrial cogen","IC","LFG"
"Crooked Run",62678,"NC","Electric utility non-cogen","PV","SUN"
"Cross",130,"SC","Electric utility","ST","DFO,BIT"
"Crown",63635,"SC","Electric utility non-cogen","PV","SUN"
"Cruise Solar, LLC",65584,"NC","Electric utility non-cogen","PV","SUN"
"Crystal Hill Solar",66839,"VA","Electric utility non-cogen","PV","SUN"
"Crystal River",628,"FL","Electric utility","ST,CT,CA","NG,DFO,BIT"
"Cubera Solar, LLC",63346,"NC","Electric utility non-cogen","PV","SUN"
"Cummins Whitakers PV Arrays",65470,"NC","Electric utility non-cogen","PV","SUN"
"Cunningham Solar LLC",67235,"VA","Electric utility non-cogen","PV","SUN"
"Currin Solar, LLC",60403,"NC","Electric utility non-cogen","PV","SUN"
"Curry Solar",64226,"GA","Electric utility non-cogen","PV","SUN"
"Curtis H Stanton Energy Center",55821,"FL","Electric utility non-cogen","CT,CA","NG"
"Cushaw",3798,"VA","Electric utility","HY","WAT"
"Cutrale Citrus Juices USA I",10020,"FL","Industrial non-cogen","GT","NG"
"Cutrale Citrus Juices USA II",10188,"FL","Industrial non-cogen","GT","NG"
"DC Water Solar",63917,"DC","Electric utility non-cogen","PV","SUN"
"DD Fayetteville Solar NC LLC",59117,"NC","Electric utility","PV","SUN"
"DD Hay Road Solar 23 LLC",59715,"DE","Electric utility non-cogen","PV","SUN"
"DE Solar 10240 Old Dowd Rd",57334,"NC","Electric utility","PV","SUN"
"DE Solar 1725 Drywall Dr",57336,"NC","Electric utility","PV","SUN"
"DE Solar 657 Brigham Rd",57335,"NC","Electric utility","PV","SUN"
"DEC Phase II at Georgetown",63392,"DE","Electric utility non-cogen","PV","SUN"
"DG AMP Solar Front Royal",61055,"VA","Electric utility non-cogen","PV","SUN"
"DG AMP Solar Smyrna",61800,"DE","Electric utility non-cogen","PV","SUN"
"DSM Pharmaceuticals",54887,"NC","Industrial cogen","IC,GT","NG,DFO"
"Dahlberg",7709,"GA","Electric utility non-cogen","GT","NG,DFO"
"Dalton 2",59556,"GA","Electric utility","PV","SUN"
"Dam No. 4 Hydro Station",6543,"WV","Electric utility non-cogen","HY","WAT"
"Dam No. 5 Hydro Station",6544,"WV","Electric utility non-cogen","HY","WAT"
"Dan River",2723,"NC","Electric utility","CT,CA","NG"
"Dania Beach 7",65978,"FL","Electric utility","CT,CA","NG"
"Daniel Farm LLC",59126,"NC","Electric utility non-cogen","PV","SUN"
"Danville",61849,"VA","Electric utility non-cogen","PV","SUN"
"Danville BESS 1",65499,"VA","Electric utility non-cogen","BA","MWH"
"Danville Farm, LLC",63965,"VA","Electric utility non-cogen","PV","SUN"
"Danville Kentuck Road Plant",56364,"VA","Electric utility","IC","DFO"
"Danville New Design Plant",56363,"VA","Electric utility","IC","DFO"
"Darbytown",7212,"VA","Electric utility","GT","NG,DFO"
"Darlington County",3250,"SC","Electric utility","GT","NG,DFO"
"Darlington Solar, LLC",60993,"SC","Electric utility non-cogen","PV","SUN"
"Davidson Gas Producers LLC",57436,"NC","Electric utility non-cogen","IC","LFG"
"Davis Lane Solar, LLC",61581,"NC","Electric utility non-cogen","PV","SUN"
"Daystar Solar",60179,"NC","Electric utility non-cogen","PV","SUN"
"Daytona International Speedway Solar",60005,"FL","Electric utility","PV","SUN"
"DeBary",6046,"FL","Electric utility","GT","NG,DFO"
"DeSoto Next Generation Solar Energy",56929,"FL","Electric utility","PV","SUN"
"Dearborn",3256,"SC","Electric utility","HY","WAT"
"Debary Solar Power Plant",62542,"FL","Electric utility","PV","SUN"
"Decatur County Solar Project",59449,"GA","Electric utility non-cogen","PV","SUN"
"Decatur Parkway Solar Project, LLC",59450,"GA","Electric utility non-cogen","PV","SUN"
"Deep Branch Farm",61403,"NC","Electric utility non-cogen","PV","SUN"
"Deep Creek",1567,"MD","Electric utility non-cogen","HY","WAT"
"Deerhaven Generating Station",663,"FL","Electric utility","GT,ST","NG,DFO,BIT"
"Deerhaven Renewable",57241,"FL","Electric utility","ST","NG,WDS"
"Delaware City 10",592,"DE","Electric utility non-cogen","GT","DFO"
"Delaware City Plant",52193,"DE","Industrial cogen","GT,ST","OG,NG"
"Delco Farm",61088,"NC","Electric utility non-cogen","PV","SUN"
"Dement Farm LLC",58874,"NC","Electric utility non-cogen","PV","SUN"
"Denmark Solar",62211,"SC","Electric utility non-cogen","PV","SUN"
"Denver Braswell PV",61441,"GA","Electric utility non-cogen","PV","SUN"
"Depot Solar Center, LLC",61691,"VA","Electric utility non-cogen","PV","SUN"
"Desert Wind Farm, LLC",59968,"NC","Electric utility non-cogen","WT","WND"
"Desper Solar",62730,"VA","Electric utility","PV","SUN"
"Dessie Solar Center LLC",58952,"NC","Electric utility non-cogen","PV","SUN"
"Diamond Solar",61974,"SC","Electric utility non-cogen","PV","SUN"
"Dibrell Farm",58346,"NC","Electric utility non-cogen","PV","SUN"
"Dickerson Power",1572,"MD","Electric utility non-cogen","GT","NG,DFO"
"Discovery Solar Center",63109,"FL","Electric utility","PV","SUN"
"Dixon Dairy Road Solar",58453,"NC","Electric utility non-cogen","PV","SUN"
"Dogwood Solar, LLC",58844,"NC","Electric utility non-cogen","PV","SUN"
"Dominion/Lo Mar",7797,"VA","Electric utility","IC,GT","DFO"
"Domino Sugar Baltimore",54795,"MD","Industrial cogen","ST","NG,RFO"
"Domtar Paper Co LLC Plymouth NC",50189,"NC","Industrial cogen","ST","NG,DFO,WDS,BLQ"
"Dorchester Biomass",58707,"SC","Electric utility non-cogen","ST","WDS"
"Doswell Energy Center",52019,"VA","Electric utility non-cogen","GT,CT,CA","NG,DFO"
"Dougherty County Solar, LLC",62375,"GA","Electric utility non-cogen","PV","SUN"
"Dover Solar and Battery Storage",66129,"FL","Electric utility","PV","SUN"
"Dover Sun Park",57337,"DE","Electric utility non-cogen","PV","SUN"
"Downs Farm Solar",59429,"NC","Electric utility non-cogen","PV","SUN"
"Downtown",55954,"VA","Electric utility","IC","DFO"
"Doyle Energy Facility",55244,"GA","Electric utility","GT","NG"
"Dragstrip Farm",59102,"NC","Electric utility non-cogen","PV","SUN"
"Drexel Operations Center",56548,"NC","Electric utility","IC","DFO"
"Dublin Solar I",60930,"GA","Electric utility non-cogen","PV","SUN"
"Duette Solar Power Plant",63978,"FL","Electric utility","PV","SUN"
"Duke Energy CHP at Clemson University",63063,"SC","Electric utility","GT","NG"
"Dunn",59376,"NC","Electric utility non-cogen","PV","SUN"
"Duplin Solar I LLC (160 Houston Lane)",60599,"NC","Electric utility non-cogen","PV","SUN"
"Duplin Solar LLC",58879,"NC","Electric utility non-cogen","PV","SUN"
"Durham Solar",60131,"NC","Electric utility non-cogen","PV","SUN"
"Durrance",63495,"FL","Electric utility","PV","SUN"
"ENGIE Solidago Solar Project - Hybrid",65304,"DE","Electric utility non-cogen","PV","SUN"
"ESA Albemarle NC Solar",66718,"NC","Electric utility non-cogen","PV","SUN"
"ESA Boston Solar, LLC",64363,"NC","Electric utility non-cogen","PV","SUN"
"ESA Buies Creek, LLC",63732,"NC","Electric utility non-cogen","PV","SUN"
"ESA Four Oaks 2 NC LLC",62996,"NC","Electric utility non-cogen","PV","SUN"
"ESA Hamlet NC , LLC",63377,"NC","Electric utility non-cogen","PV","SUN"
"ESA Selma",59956,"NC","Electric utility non-cogen","PV","SUN"
"ESA Smithfield",59955,"NC","Electric utility non-cogen","PV","SUN"
"Eagle Solar",60161,"NC","Electric utility non-cogen","PV","SUN"
"East Nash PV2",63789,"NC","Electric utility non-cogen","PV","SUN"
"East Wayne Solar LLC",59189,"NC","Electric utility non-cogen","PV","SUN"
"Eastern Correctional Institute",10693,"MD","Commercial cogen","IC,ST","DFO,WDS"
"Eastern Landfill Gas LLC",56571,"MD","Electric utility non-cogen","IC","LFG"
"Eastern Shore Solar, LLC",60127,"VA","Electric utility non-cogen","PV","SUN"
"Easton",1580,"MD","Electric utility","IC","DFO"
"Easton 2",4257,"MD","Electric utility","IC,GT","DFO"
"Eastover Farm",59562,"NC","Electric utility non-cogen","PV","SUN"
"Eastover Solar",66717,"SC","Electric utility non-cogen","PV","SUN"
"Eastside WWTP",57606,"NC","Electric utility","IC","DFO"
"Echo River Solar",62490,"FL","Electric utility","BA,PV","MWH,SUN"
"Eden Solar LLC",59778,"NC","Electric utility non-cogen","PV","SUN"
"Edenton Generators",7429,"NC","Electric utility","IC","DFO"
"Edenton Solar",61781,"NC","Electric utility non-cogen","PV","SUN"
"Edge Moor",593,"DE","Electric utility non-cogen","GT,ST","NG,DFO,RFO"
"Edison Farm",66371,"NC","Electric utility non-cogen","PV","SUN"
"Edison Solar",61975,"SC","Electric utility non-cogen","PV","SUN"
"Edward L. Addison Generating Plant",55267,"GA","Electric utility non-cogen","GT","NG,DFO"
"Edwin I Hatch",6051,"GA","Electric utility","ST","NUC"
"Egret Solar Center",62925,"FL","Electric utility","PV","SUN"
"Eight Flags Energy",60025,"FL","Electric utility cogen","GT","NG"
"Elder Branch",65041,"FL","Electric utility","PV","SUN"
"Electric Avenue Facility",56367,"VA","Electric utility","IC","DFO"
"Elizabeth River Power Station",52087,"VA","Electric utility","GT","NG,DFO"
"Elkton",52148,"VA","Industrial cogen","IC,ST","NG,DFO"
"Elkton Solar",60089,"MD","Electric utility non-cogen","PV","SUN"
"Ellerbe",59042,"NC","Electric utility non-cogen","PV","SUN"
"Elliana Solar",58725,"NC","Electric utility non-cogen","PV","SUN"
"Elm City Solar Facility",59164,"NC","Electric utility","PV","SUN"
"Elm Solar, LLC",60136,"NC","Electric utility non-cogen","PV","SUN"
"Emmitsburg Solar Arrays",60849,"MD","Electric utility non-cogen","PV","SUN"
"Emory Decatur Hospital",54830,"GA","Commercial non-cogen","IC","DFO"
"Emory Hillandale Hospital",56231,"GA","Commercial non-cogen","IC","DFO"
"Emporia",50175,"VA","Electric utility non-cogen","HY","WAT"
"Energix Aditya, LLC",65151,"VA","Electric utility non-cogen","PV","SUN"
"Energix Buckingham, LLC",64015,"VA","Electric utility non-cogen","PV","SUN"
"Energix Hollyfield, LLC",64010,"VA","Electric utility non-cogen","PV","SUN"
"Energix Leatherwood, LLC",64817,"VA","Electric utility non-cogen","PV","SUN"
"Energix Nokesville, LLC",64012,"VA","Electric utility non-cogen","PV","SUN"
"Energy Center Dover",10030,"DE","Electric utility cogen","GT,CT,CA","NG,DFO"
"Ennis Solar, LLC",62662,"NC","Electric utility non-cogen","PV","SUN"
"Enoree Phase II Landfill Gas Recovery",56951,"SC","Electric utility non-cogen","IC","LFG"
"Eros Solar, LLC",63733,"NC","Electric utility non-cogen","PV","SUN"
"Erwin Farm",58859,"NC","Electric utility non-cogen","PV","SUN"
"Essential Power Rock Springs LLC",7835,"MD","Electric utility non-cogen","GT","NG"
"Essex Solar Center",61406,"VA","Electric utility non-cogen","PV","SUN"
"Estill Solar",61490,"SC","Electric utility non-cogen","PV","SUN"
"Estill Solar II",61529,"SC","Electric utility non-cogen","PV","SUN"
"Everett PV1",60997,"NC","Electric utility non-cogen","PV","SUN"
"Everetts Wildcat Solar, LLC",59549,"NC","Electric utility non-cogen","PV","SUN"
"Everglades Solar Energy Center",65423,"FL","Electric utility","PV","SUN"
"Exum Farm Solar, LLC",60400,"NC","Electric utility non-cogen","PV","SUN"
"FFP - MD Foxhall",67297,"MD","Electric utility non-cogen","PV","SUN"
"FIU Solar",60006,"FL","Electric utility","PV","SUN"
"FL Solar 4, LLC",63187,"FL","Electric utility non-cogen","PV","SUN"
"FLS Solar 170, LLC",59552,"NC","Electric utility non-cogen","PV","SUN"
"FLS Solar 200, LLC",59551,"NC","Electric utility non-cogen","PV","SUN"
"FLS Solar 230 (Warren)",59646,"NC","Electric utility non-cogen","PV","SUN"
"FPL Cavendish Solar Energy Center",65438,"FL","Electric utility","PV","SUN"
"FPL Chipola River Solar Energy Center",65422,"FL","Electric utility","PV","SUN"
"FPL Cypress Pond Solar",65593,"FL","Electric utility","PV","SUN"
"FPL Etonia Creek",65594,"FL","Electric utility","PV","SUN"
"FPL Flowers Creek Solar Energy Center",65427,"FL","Electric utility","PV","SUN"
"FPL Saw Palmetto Solar Energy Center",65592,"FL","Electric utility","PV","SUN"
"FPL Shirer Branch Solar Energy Center",65429,"FL","Electric utility","PV","SUN"
"Facile Solar",59406,"NC","Electric utility non-cogen","PV","SUN"
"Fair Wind",59147,"MD","Electric utility non-cogen","WT","WND"
"Fairfield Pumped Storage",6126,"SC","Electric utility","PS","WAT"
"Fairmont-FLS 100",59052,"NC","Electric utility non-cogen","PV","SUN"
"Faison Solar",59333,"NC","Electric utility non-cogen","PV","SUN"
"Falls Hydro",54895,"NC","Electric utility","HY","WAT"
"Farrington Farm",58318,"NC","Electric utility non-cogen","PV","SUN"
"FedEx Field Solar Facility",57747,"MD","Electric utility non-cogen","PV","SUN"
"FedEx Hagerstown",67801,"MD","Electric utility non-cogen","PV","SUN"
"Federalsburg Energy Storage 1 LLC",66499,"MD","Electric utility non-cogen","BA,PV","MWH,SUN"
"Fern Solar LLC",62798,"NC","Electric utility non-cogen","PV","SUN"
"Fernandina Beach Mill",10202,"FL","Industrial cogen","ST","NG,DFO,WDS,BIT,BLQ"
"Fernandina Plant",10562,"FL","Industrial cogen","ST","WDL,NG,DFO,WDS,TDF,RFO,OBS"
"Field Street",7954,"FL","Electric utility","GT","DFO"
"First Baptist Church of Glenarden",62043,"MD","Electric utility non-cogen","PV","SUN"
"First City Solar Energy Center",65424,"FL","Electric utility","PV","SUN"
"FirstEnergy Fort Martin Power Station",3943,"WV","Electric utility","ST","DFO,BIT"
"FirstEnergy Harrison Power Station",3944,"WV","Electric utility","ST","NG,RC"
"Fisher Solar Farm - NC",61089,"NC","Electric utility non-cogen","PV","SUN"
"Fishing Creek",3257,"SC","Electric utility","HY","WAT"
"Five Forks Solar",59951,"NC","Electric utility non-cogen","PV","SUN"
"Flash Solar",58726,"NC","Electric utility non-cogen","PV","SUN"
"Flat Meeks PV 1",59514,"NC","Electric utility non-cogen","PV","SUN"
"Flatwood Farm",64527,"NC","Electric utility non-cogen","PV","SUN"
"Flemming Solar Center LLC",58808,"NC","Electric utility non-cogen","PV","SUN"
"Flint Hill Solar, LLC",60370,"NC","Electric utility non-cogen","PV","SUN"
"Flint River",706,"GA","Electric utility","HY","WAT"
"Flint River Operations",50465,"GA","Industrial cogen","ST","NG,DFO,WDS,BLQ"
"Florence Mill",50806,"SC","Industrial cogen","ST","NG,WDS,RFO,BIT,BLQ"
"Florida's Natural Growers",10275,"FL","Industrial cogen","GT","NG"
"Flowers Solar LLC",62487,"NC","Electric utility non-cogen","PV","SUN"
"Floyd Road Solar Farm",61031,"NC","Electric utility non-cogen","PV","SUN"
"Floyd Solar, LLC",60147,"NC","Electric utility non-cogen","PV","SUN"
"Fontana Dam",2779,"NC","Electric utility","HY","WAT"
"Fort Benning Solar Facility",59862,"GA","Electric utility","PV","SUN"
"Fort Bragg - Camp Mackall PV BESS System",64050,"NC","Electric utility non-cogen","BA,PV","MWH,SUN"
"Fort Detrick Solar PV",61552,"MD","Electric utility non-cogen","PV","SUN"
"Fort Drum Energy Center",64300,"FL","Electric utility","PV","SUN"
"Fort Gordon Solar Facility",59863,"GA","Electric utility","PV","SUN"
"Fort Green Solar Power Plant",64533,"FL","Electric utility","PV","SUN"
"Fort Myers",612,"FL","Electric utility","GT,CT,CA","NG,DFO"
"Fort Powhatan Solar",65322,"VA","Electric utility","PV","SUN"
"Fort Stewart Solar Facility",59865,"GA","Electric utility","PV","SUN"
"Fort Valley State University Solar",63062,"GA","Electric utility","PV","SUN"
"Fountain Folkston",64584,"GA","Electric utility non-cogen","PV","SUN"
"Fourmile Ridge",58904,"MD","Electric utility non-cogen","WT","WND"
"Fox Creek Solar",60624,"NC","Electric utility non-cogen","PV","SUN"
"Foxfire Solar Farm",59563,"NC","Electric utility non-cogen","PV","SUN"
"Francis Scott Key Mall",63253,"MD","Commercial non-cogen","PV","SUN"
"Franklin (NC)",2745,"NC","Electric utility non-cogen","HY","WAT"
"Franklin Milliken",64276,"GA","Electric utility non-cogen","PV","SUN"
"Franklin Solar 2",59579,"NC","Electric utility non-cogen","PV","SUN"
"Franklin Solar, LLC",58802,"NC","Electric utility non-cogen","PV","SUN"
"Franklinton Solar",59708,"NC","Electric utility non-cogen","PV","SUN"
"Frederick County - Landfill",63496,"MD","Electric utility non-cogen","PV","SUN"
"Frederick County LFGTE Facility",57754,"VA","Commercial non-cogen","IC","LFG"
"Freedom Solar",61833,"SC","Electric utility non-cogen","PV","SUN"
"Freeman Avenue",62887,"GA","Electric utility non-cogen","PV","SUN"
"Freemont Solar Center LLC",59912,"NC","Electric utility non-cogen","PV","SUN"
"Freight Line Solar, LLC",63693,"NC","Electric utility","PV","SUN"
"Fremont Farm LLC",59103,"NC","Electric utility non-cogen","PV","SUN"
"Friendship I",66160,"MD","Electric utility non-cogen","PV","SUN"
